Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=mp_s_a_1_59?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-59,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,3.9,0
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=mp_s_a_1_60?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-60,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,819,3.9,0
https://www.amazon.in/NORTH-ZONE-Northzone-Business-Messenger/dp/B0C555LQF4/ref=mp_s_a_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-61,NORTH ZONE Northzone Sling Cross Body Travel Office Business Messenger One Side Shoulder Pouch Bag Money Bag for Men and Women,249,3.8,0
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=mp_s_a_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-62,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,499,3.9,0
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=mp_s_a_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-63,"Genie Miami Laptop Backpack for Women,Tuition bag, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",803,4.2,0
https://www.amazon.in/Waterproof-Backpack-Students-adjustable-Compartment/dp/B09V5HRYR7/ref=mp_s_a_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-64,CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,699,3.8,0
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=mp_s_a_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-65,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,269,4.0,0
https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=mp_s_a_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-66,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,0
https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=mp_s_a_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-67,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,4.3,0
https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=mp_s_a_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-68,ADISA Women's Girls Party Sling Bag Crossbody,394,4.0,0
